Department,Department Name,Division,Gender,Base Salary,2020 Overtime Pay,2020 Longevity Pay,Grade
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,59660,4453.35,3773.56,12
ABS,Alcohol Beverage Services,Wholesale Operations,M,90848,0,5717.68,21
ABS,Alcohol Beverage Services,Downtown Rockville,F,70310.4,159.23,0,18
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,78902,7433.82,2095.78,18
ABS,Alcohol Beverage Services,Downtown Rockville,M,45360.97,751.91,0,12
ABS,Alcohol Beverage Services,Kingsview,F,64552.96,842.74,0,14
ABS,Alcohol Beverage Services,Burtonsville,M,38190.58,78.89,0,12
ABS,Alcohol Beverage Services,Muddy Branch,M,62376.07,225.93,0,14
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,78902,3027.65,1639.44,18
ABS,Alcohol Beverage Services,Customer Service,F,107918.28,0,0,25
ABS,Alcohol Beverage Services,Wholesale Operations,F,90289.92,117.24,91.12,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,59800,5026.16,0,15
ABS,Alcohol Beverage Services,Walnut Hill,M,47728,69.2,1530.63,12
ABS,Alcohol Beverage Services,Retail Administration,F,106226.71,0,0,25
ABS,Alcohol Beverage Services,Kensington,M,43825.99,169.13,0,12
ABS,Alcohol Beverage Services,Leisure World,F,60260.74,925.65,0,14
ABS,Alcohol Beverage Services,IT Administration,F,115099,0,3587.76,26
ABS,Alcohol Beverage Services,Downtown Rockville,M,87253.3,0,0,21
ABS,Alcohol Beverage Services,Retail Administration,M,93387.52,0,0,25
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,84421.55,18587.41,0,20
ABS,Alcohol Beverage Services,Retail Administration,F,67496.3,486.78,0,18
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,68575,4459.85,1980.05,15
ABS,Alcohol Beverage Services,Seneca Meadows,F,88820.04,49.97,0,21
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,59660,7389.84,1859.77,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,90848,278.02,5745.6,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,68575,2944.87,4337.18,15
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,53246.64,624.05,0,13
ABS,Alcohol Beverage Services,Administrative Services,F,63728.58,0,0,18
ABS,Alcohol Beverage Services,Kensington,M,63411.85,117.99,0,18
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,75290,9804.92,0,17
ABS,Alcohol Beverage Services,Goshen Crossing,M,65112.51,0,0,21
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488,1150.48,3952.84,13
ABS,Alcohol Beverage Services,Darnestown,F,65632.33,948.7,0,18
ABS,Alcohol Beverage Services,White Oak,M,69752.84,134.33,0,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,78902,26721.93,1639.45,18
ABS,Alcohol Beverage Services,Administrative Services,M,86669,1062.57,0,20
ABS,Alcohol Beverage Services,White Oak,M,45360.97,75.76,0,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,90848,6748.2,0,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,68575,7125.25,0,15
ABS,Alcohol Beverage Services,Retail Administration,F,138556.12,0,0,M3
ABS,Alcohol Beverage Services,IT Administration,M,82691,10319.06,2576.88,19
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,55111.29,8494.48,0,13
ABS,Alcohol Beverage Services,Montrose,M,77956.26,3.94,0,18
ABS,Alcohol Beverage Services,Westwood,M,58222.83,1202.44,0,14
ABS,Alcohol Beverage Services,Darnestown,M,39375.6,47.93,573.07,12
ABS,Alcohol Beverage Services,Clarksburg Village,M,72302.29,0,0,18
ABS,Alcohol Beverage Services,Montrose,M,72193.58,0,0,21
ABS,Alcohol Beverage Services,Silver Spring,M,78902,0,0,18
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,62488,0,1262,13
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,64206.13,5022.1,0,15
ABS,Alcohol Beverage Services,Cabin John,F,77956.27,168.66,0,18
ABS,Alcohol Beverage Services,Darnestown,M,85927.35,170.42,0,21
ABS,Alcohol Beverage Services,Downtown Rockville,M,65464,919.12,2041.22,14
ABS,Alcohol Beverage Services,Muddy Branch,M,86691.4,753.37,0,21
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,90080.58,0,0,21
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,68575,1080.54,2138.4,15
ABS,Alcohol Beverage Services,Wheaton,M,90848,0,0,21
ABS,Alcohol Beverage Services,Darnestown,F,29830,602.55,0,12
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,53246.64,745.62,0,13
ABS,Alcohol Beverage Services,Flower Avenue,F,61264.59,0,0,18
ABS,Alcohol Beverage Services,Kensington,M,65464,859.29,2041.18,14
ABS,Alcohol Beverage Services,Leisure World,M,79534.02,392.91,0,21
ABS,Alcohol Beverage Services,Fallsgrove,F,70310.56,1586.14,0,18
ABS,Alcohol Beverage Services,Walnut Hill,F,47728,213.52,0,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488,881.35,3952.8,13
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488,869.9,3952.87,13
ABS,Alcohol Beverage Services,Goshen Crossing,F,67929.68,1278.65,0,18
ABS,Alcohol Beverage Services,Wholesale Operations,M,90728.22,244.38,0,21
ABS,Alcohol Beverage Services,King Farm,M,90848,0,1887.84,21
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,59660,12006.89,1859.78,12
ABS,Alcohol Beverage Services,Kingsview,M,78902,764.71,0,18
ABS,Alcohol Beverage Services,Aspen Hill,F,83758.58,0,0,21
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,59660,9366.26,0,12
ABS,Alcohol Beverage Services,Kingsview,M,90848,0,0,21
ABS,Alcohol Beverage Services,Walnut Hill,M,65464,637.18,2041.22,14
ABS,Alcohol Beverage Services,Cabin John,M,64556.26,460.42,0,14
ABS,Alcohol Beverage Services,Clarksburg Village,M,74723.62,0,0,21
ABS,Alcohol Beverage Services,Silver Spring,M,80539.77,174.25,0,21
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,76742.54,17731.76,0,20
ABS,Alcohol Beverage Services,Muddy Branch,M,60874.32,288.43,0,18
ABS,Alcohol Beverage Services,Beer Loading,M,51955,5197.79,1620.02,9
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,61892.87,5284.19,0,15
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,59800,2094.86,0,13
ABS,Alcohol Beverage Services,Kingsview,M,18574.4,0,0,12
ABS,Alcohol Beverage Services,Wheaton,M,78902,0,0,18
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,55154.39,4260.9,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,44166.24,4354.12,0,15
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,59938.72,2062.91,0,13
ABS,Alcohol Beverage Services,Cloverly,F,65464,818.01,2041.21,14
ABS,Alcohol Beverage Services,Customer Service,F,64042.65,0,0,18
ABS,Alcohol Beverage Services,Cabin John,M,46951.18,983.78,0,12
ABS,Alcohol Beverage Services,Fallsgrove,F,90848,0,1048.8,21
ABS,Alcohol Beverage Services,Hampden Lane,F,69753.01,0,0,21
ABS,Alcohol Beverage Services,Administration,M,144148.63,0,0,M3
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,62488,2033.18,3952.8,13
ABS,Alcohol Beverage Services,Potomac,M,65632.47,1566.25,0,18
ABS,Alcohol Beverage Services,Flower Avenue,M,90848,0,0,21
ABS,Alcohol Beverage Services,Customer Service,M,78902,0,4622,18
ABS,Alcohol Beverage Services,Muddy Branch,M,62369.7,262.39,0,14
ABS,Alcohol Beverage Services,Aspen Hill,M,65464,2586.48,0,14
ABS,Alcohol Beverage Services,Downtown Rockville,M,64552.94,420.49,0,14
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,59800,1146.91,0,15
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,96819.21,0,0,25
ABS,Alcohol Beverage Services,IT Administration,M,126584,273.87,0,28
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,61330.38,556.46,0,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,61892.87,7708.89,0,15
ABS,Alcohol Beverage Services,Olney,M,76146.31,0,0,18
ABS,Alcohol Beverage Services,Cabin John,M,47728,1717.17,1855.19,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,109761,0,0,25
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,55154.39,2354.64,0,12
ABS,Alcohol Beverage Services,Wheaton,M,47728,937.93,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,52644.58,5003.26,0,10
ABS,Alcohol Beverage Services,Cabin John,M,47728,386.8,1646.3,12
ABS,Alcohol Beverage Services,Beer Loading,M,72208.8,9093.26,0,18
ABS,Alcohol Beverage Services,Potomac,F,47728,8.22,2124.08,12
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,49957.19,1461.71,0,13
ABS,Alcohol Beverage Services,Kensington,M,36899.78,604.13,0,12
ABS,Alcohol Beverage Services,Customer Service,F,61860.41,401.58,0,18
ABS,Alcohol Beverage Services,Hampden Lane,F,36534.43,529.63,0,12
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,51638.54,208.64,0,15
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,50681.2,779.23,0,13
ABS,Alcohol Beverage Services,Hampden Lane,M,50737.17,1355.06,0,14
ABS,Alcohol Beverage Services,Darnestown,M,54350.13,442.09,0,14
ABS,Alcohol Beverage Services,Silver Spring,F,36534.43,147.68,0,12
ABS,Alcohol Beverage Services,Clarksburg Village,M,51992.29,7.75,0,14
ABS,Alcohol Beverage Services,Silver Spring,M,50234.82,762.11,0,14
ABS,Alcohol Beverage Services,Seneca Meadows,M,38190.68,734.69,0,12
ABS,Alcohol Beverage Services,Kensington,F,36899.78,512.38,0,12
ABS,Alcohol Beverage Services,White Oak,M,55258.33,0,0,18
ABS,Alcohol Beverage Services,Potomac,F,36899.78,64.53,0,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,45484.36,1263.32,0,12
ABS,Alcohol Beverage Services,Fallsgrove,M,54375.73,50.1,0,14
ABS,Alcohol Beverage Services,Westwood,M,59193.52,1456.13,0,18
ABS,Alcohol Beverage Services,Fallsgrove,M,51993.02,0,0,14
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,43511.11,7843.9,0,12
ABS,Alcohol Beverage Services,Customer Service,F,72822.81,0,0,18
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,50680.97,3930.57,0,15
ABS,Alcohol Beverage Services,Aspen Hill,M,57205.84,0,0,18
ABS,Alcohol Beverage Services,Muddy Branch,M,22068.44,10.2,0,12
ABS,Alcohol Beverage Services,White Oak,M,40911.96,103.59,0,12
ABS,Alcohol Beverage Services,Potomac,M,50737.18,499.64,0,14
ABS,Alcohol Beverage Services,Burtonsville,F,39527.56,482.98,0,12
ABS,Alcohol Beverage Services,Wheaton,M,45360,249.87,0,12
ABS,Alcohol Beverage Services,Wheaton,M,23062.36,44.03,0,12
ABS,Alcohol Beverage Services,Hampden Lane,M,36899.78,1174.72,0,12
ABS,Alcohol Beverage Services,Seneca Meadows,M,65464,2191.22,0,14
ABS,Alcohol Beverage Services,Burtonsville,M,19903.07,47.12,0,12
ABS,Alcohol Beverage Services,White Oak,M,36899.78,145.87,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49356.65,1165.18,0,10
ABS,Alcohol Beverage Services,Silver Spring,M,22059.71,0,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,F,39379.4,3963.38,0,10
ABS,Alcohol Beverage Services,Seneca Meadows,F,44916.63,695.28,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,52455.06,3331.13,0,15
ABS,Alcohol Beverage Services,Leisure World,F,36899.78,72.93,0,12
ABS,Alcohol Beverage Services,White Oak,M,36742.87,618.68,0,12
ABS,Alcohol Beverage Services,King Farm,M,52522.24,54.9,0,14
ABS,Alcohol Beverage Services,Wholesale Operations,M,73435.07,1579.57,0,21
ABS,Alcohol Beverage Services,Olney,F,47162.2,486.74,0,12
ABS,Alcohol Beverage Services,Olney,M,38190.58,351.01,0,12
ABS,Alcohol Beverage Services,Westwood,M,58222.95,96.46,0,14
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,54291.41,3099.47,0,15
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,46069,1910.54,0,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,53932.73,1697.7,0,15
ABS,Alcohol Beverage Services,Seneca Meadows,M,37845.21,439.3,0,12
ABS,Alcohol Beverage Services,Darnestown,M,36534.43,1048.68,0,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,89188.69,4534.56,0,21
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,40940,1853.01,0,9
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,47285.7,3843.27,0,15
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,53620.29,13276.04,0,17
ABS,Alcohol Beverage Services,Burtonsville,M,36534.43,148.26,0,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,45034.02,392.99,0,12
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,43439.99,1339.13,0,15
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,47285.72,7446.24,0,13
ABS,Alcohol Beverage Services,Aspen Hill,M,18574.4,0,0,12
ABS,Alcohol Beverage Services,Muddy Branch,M,36534.43,129.95,0,12
ABS,Alcohol Beverage Services,Walnut Hill,M,36534.43,165.57,0,12
ABS,Alcohol Beverage Services,Cloverly,M,36534.43,348.53,0,12
ABS,Alcohol Beverage Services,Muddy Branch,M,36534.43,49.99,0,12
ABS,Alcohol Beverage Services,Burtonsville,F,50234.82,1138.84,0,14
ABS,Alcohol Beverage Services,Westwood,M,36534.43,497.53,0,12
ABS,Alcohol Beverage Services,Walnut Hill,F,50234.82,3030.34,0,14
ABS,Alcohol Beverage Services,Montrose,M,36534.43,1009.17,0,12
ABS,Alcohol Beverage Services,Aspen Hill,M,48536.08,418.03,0,14
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,34316,389.36,0,10
ABS,Alcohol Beverage Services,Cloverly,M,64697.35,0,0,18
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,52499.37,8347.84,0,17
ABS,Alcohol Beverage Services,Goshen Crossing,F,36534.43,28.02,0,12
ABS,Alcohol Beverage Services,Fallsgrove,M,35298.98,1065.56,0,12
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,38451.2,2890.86,0,12
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,48026,1369.71,0,13
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,42584.5,1450.85,0,10
ABS,Alcohol Beverage Services,Kingsview,F,36534.42,153.6,0,12
ABS,Alcohol Beverage Services,Seneca Meadows,M,55258.29,0,0,18
ABS,Alcohol Beverage Services,Fallsgrove,F,36534.42,574.6,0,12
ABS,Alcohol Beverage Services,Walnut Hill,F,36534.42,388.1,0,12
ABS,Alcohol Beverage Services,Cloverly,M,50234.82,366.65,0,14
ABS,Alcohol Beverage Services,Westwood,M,36534.42,1152.39,0,12
ABS,Alcohol Beverage Services,Leisure World,M,36534.42,375.55,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49848.5,1381.42,0,15
ABS,Alcohol Beverage Services,Kensington,M,50234.82,2380.54,0,14
ABS,Alcohol Beverage Services,Muddy Branch,M,50234.82,745.95,0,14
ABS,Alcohol Beverage Services,Muddy Branch,F,36534.42,98.17,0,12
ABS,Alcohol Beverage Services,Cabin John,F,36534.42,406.77,0,12
ABS,Alcohol Beverage Services,Olney,M,49249.83,855.39,0,14
ABS,Alcohol Beverage Services,Poolesville,M,36534.42,229.99,0,12
ABS,Alcohol Beverage Services,Goshen Crossing,F,35298.98,102.33,0,12
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,46842.96,6328.49,0,13
ABS,Alcohol Beverage Services,Kingsview,F,36534.42,575.93,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,43103.68,1462.66,0,10
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,46402.53,4361.8,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,53399.48,3207.28,0,15
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,43103.7,565.2,0,13
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,43728.95,5196.36,0,13
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,44612.32,1281.21,0,12
ABS,Alcohol Beverage Services,Darnestown,M,35298.99,322.74,0,12
ABS,Alcohol Beverage Services,Wheaton,F,34105.27,640.24,0,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,44612.32,127.53,0,12
ABS,Alcohol Beverage Services,King Farm,F,36534.42,55.34,0,12
ABS,Alcohol Beverage Services,Clarksburg Village,M,36534.42,266.09,0,12
ABS,Alcohol Beverage Services,Muddy Branch,M,36534.42,180.45,0,12
ABS,Alcohol Beverage Services,Flower Avenue,M,50234.83,631.62,0,14
ABS,Alcohol Beverage Services,Kingsview,F,50234.83,649.67,0,14
ABS,Alcohol Beverage Services,Administrative Services,F,109761,0,0,25
ABS,Alcohol Beverage Services,Beer Loading,M,38451.2,3225.51,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,52746.52,1370.03,0,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,42584.49,312.29,0,10
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,45258.88,187.05,0,13
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,51593.7,35.03,0,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,36760.35,1106.24,0,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49848.99,6273.86,0,15
ABS,Alcohol Beverage Services,Flower Avenue,M,35298.99,2240.04,0,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,45258.87,2401.71,0,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,43511.13,2036.71,0,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,43511.13,2311.04,0,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,43511.13,1397.46,0,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,43103.68,3228.05,0,13
ABS,Alcohol Beverage Services,Purchasing,M,100636.07,0,0,25
ABS,Alcohol Beverage Services,Silver Spring,F,35298.99,417.15,0,12
ABS,Alcohol Beverage Services,King Farm,F,53389.71,0,0,18
ABS,Alcohol Beverage Services,Seneca Meadows,M,48536.11,642.37,0,14
ABS,Alcohol Beverage Services,Downtown Rockville,F,48536.11,1431.53,0,14
ABS,Alcohol Beverage Services,Darnestown,F,35298.99,197.73,0,12
ABS,Alcohol Beverage Services,Silver Spring,M,48536.1,2406.01,0,14
ABS,Alcohol Beverage Services,Westwood,M,48536.11,1292.4,0,14
ABS,Alcohol Beverage Services,Director's Office,F,59775.11,0,0,18
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,43103.69,1892.74,0,12
ABS,Alcohol Beverage Services,Flower Avenue,M,35298.99,1288.22,0,12
ABS,Alcohol Beverage Services,White Oak,F,48536.11,3.77,0,14
ABS,Alcohol Beverage Services,Clarksburg Village,M,35298.98,55.42,0,12
ABS,Alcohol Beverage Services,Olney,M,32952.33,65.36,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,43439.53,2903.49,0,15
ABS,Alcohol Beverage Services,Beer Loading,M,43103.6,8724.34,0,12
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,49848.5,1265.53,0,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,41135.71,6335.67,0,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,39752.99,2784.35,0,10
ABS,Alcohol Beverage Services,Goshen Crossing,M,48527.12,574.96,0,14
ABS,Alcohol Beverage Services,Hampden Lane,M,35298.98,0,0,12
ABS,Alcohol Beverage Services,Olney,M,48536.1,0,0,14
ABS,Alcohol Beverage Services,Hampden Lane,M,53389.71,0,0,18
ABS,Alcohol Beverage Services,Aspen Hill,F,35298.98,1155.93,0,12
ABS,Alcohol Beverage Services,Olney,F,34105.42,704.65,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,38409.26,701.98,0,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,48162.8,1120.38,0,15
ABS,Alcohol Beverage Services,Wholesale Administration,M,167345,0,0,M2
ABS,Alcohol Beverage Services,Montrose,M,29721.12,0,0,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,40035.02,6692.49,0,12
ABS,Alcohol Beverage Services,Fallsgrove,F,34105.42,517,0,12
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,41189.89,1329.9,0,12
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,39753.59,1850.16,0,10
ABS,Alcohol Beverage Services,Potomac,M,34105.42,258.3,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,39753.59,8489.91,0,10
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,41190.42,4707.04,0,12
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,40238.29,2285.69,0,12
ABS,Alcohol Beverage Services,Cloverly,F,20599.68,101.4,0,12
ABS,Alcohol Beverage Services,Goshen Crossing,M,34105.66,465.65,0,12
ABS,Alcohol Beverage Services,Walnut Hill,M,34113.08,2125.83,0,12
ABS,Alcohol Beverage Services,Poolesville,M,47379.29,1765.68,0,14
ABS,Alcohol Beverage Services,Burtonsville,M,31838.01,785.56,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,42641.36,2973.82,0,10
ABS,Alcohol Beverage Services,King Farm,M,34105.66,37.38,0,12
ABS,Alcohol Beverage Services,Silver Spring,M,45319.31,295.46,0,14
ABS,Alcohol Beverage Services,Aspen Hill,F,32959.49,10.08,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,48162.8,0,0,15
ABS,Alcohol Beverage Services,King Farm,M,32959.5,67.38,0,12
ABS,Alcohol Beverage Services,Downtown Rockville,M,20599.69,3.87,0,12
ABS,Alcohol Beverage Services,Montrose,M,32959.5,1105.59,0,12
ABS,Alcohol Beverage Services,Wholesale Administration,M,109761,0,0,25
ABS,Alcohol Beverage Services,Goshen Crossing,M,45319.31,1283.15,0,14
ABS,Alcohol Beverage Services,Cloverly,M,32959.5,103.38,0,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,82145.55,0,0,21
ABS,Alcohol Beverage Services,Beer Loading,M,41189.9,6391.81,0,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,53445.88,768.23,0,15
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,41190.43,4779.03,0,12
ABS,Alcohol Beverage Services,Silver Spring,M,31837.6,343.58,0,12
ABS,Alcohol Beverage Services,Director,M,220000,0,0,0
